subSubName,mainMenuName,title,url,price,description
"област Враца",Работа,"Продавач - Консултант - Супермаркет!",https://www.alo.bg/8392934,,"Призма ООД гр. Приморско търси да назначи продавач-консултанти за хранителни магазини. Работата е целогодишна/сезонна с осигурена квартира и обяд, и добро заплащане. За повече информация - моля .."
"област Враца",Работа,"Голяма българска логистична компания търси да назначи опитни и квалифицирани складови работници",https://www.alo.bg/9123000,,"ГОЛЯМА БЪЛГАРСКА ЛОГИСТИЧНА КОМПАНИЯ ТЪРСИ ДА НАЗНАЧИ ОПИТНИ И КВАЛИФИЦИРАНИ СКЛАДОВИ РАБОТНИЦИ за работа в Логистични центрове в гр. София в кв. Люлин и кв. Хаджи Димитър. 1. ПОЗИЦИИ: .."
"област Враца",Работа,"Служител Поддръжка сграда и ремонтна дейност",https://www.alo.bg/9146057,,"Хотел ”Мартинез”, гр. Созопол, търси да назначи: СЛУЖИТЕЛ ПОДДРЪЖКА СГРАДА И РЕМОНТНА ДЕЙНОСТ ОСНОВНИ ДЕЙНОСТИ И ОТГОВОРНОСТИ - Поддържа в изправност поверените му съоръжения в комплекса. - .."
"област Враца",Работа,"Търсим хигиенистка, предлагаме квартира",https://www.alo.bg/9041363,,"Пет дневна работна седмица, 8 часов работен ден, начало на работния ден по договаряне. Почистване на офиси и общи части /коридори, санитарни възли, прилежащи части/ в бизнес сграда. Предлагаме ква.."
"област Враца",Работа,"Международен шофьор - хладилник / титуляр на един камион",https://www.alo.bg/5154738,,"КУУЛТРАНС ООД предлага работа на международни шофьори с опит и квалификация на хладилно ремарке по следните релации: - Гърция - Европа - Гърция - Гърция - Западна Европа - Англия - Гърция Необ.."
"област Враца",Работа,"Набираме охранители",https://www.alo.bg/9086276,,"Набираме охранители за множество обекти в района на гр. София -Предлагаме добро заплащане -Работа по предварително утвърден график -Приятно и поддържано работно място -Трудов договор и включени ос.."
"област Враца",Работа,"Търси продавач-консултант",https://www.alo.bg/8941486,,"Публикувано от ”Бюро по труда”: [ ДБТ - Враца ] Място на работата: Насeлено място към общ. Враца, обл. Враца Наименование на длъжността: 5223-2001 - Продавач-консултант Основни отговорности: Посрещ.."
"област Враца",Работа,"Ръководител с български език",https://www.alo.bg/9086913,,"Добър ден! Търсим отговорен супервайзер, който да наблюдава работния процес в нашите съоръжения. Ролята е сложна. Той няма да бъде просто някой, който контролира работата на другите. Супервайзор.."
"област Враца",Работа,"Помощник във пункт за технически прегледи",https://www.alo.bg/9136556,,"”Автокомплекс Илинден” търси да назначи техник, на пункт за годишни технически прегледи на постоянен договор. Изисквания: -Шофьорска книжка, мин. кат.B -Добра комуникативност -Желание за дъл.."
"област Враца",Работа,"Търси учител, детска градина",https://www.alo.bg/9161653,,"Публикувано от ”Бюро по труда”: [ ДБТ - Враца ] Място на работата: Насeлено място към общ. Враца, обл. Враца Наименование на длъжността: 2342-5002 - Учител, детска градина Основни отговорности: Да .."
"област Враца",Работа,"Търси образователен медиатор",https://www.alo.bg/9161626,,"Публикувано от ”Бюро по труда”: [ ДБТ - Мездра ] Място на работата: Насeлено място към общ. Мездра, обл. Враца Наименование на длъжността: 5312-3004 - Образователен медиатор Основни отговорности: п.."
"област Враца",Работа,"Търси учител, общообразователен учебен предмет в гимназиален етап",https://www.alo.bg/9161601,,"Публикувано от ”Бюро по труда”: [ ДБТ - Бяла Слатина ] Място на работата: Насeлено място към общ. Бяла Слатина, обл. Враца Наименование на длъжността: 2330-5005 - Учител, общообразователен учебен пр.."
"област Враца",Работа,"Търси работник, строителството",https://www.alo.bg/9161600,,"Публикувано от ”Бюро по труда”: [ ДБТ - Враца ] Място на работата: Насeлено място към общ. Враца, обл. Враца Наименование на длъжността: 9312-0003 - Работник, строителството Основни отговорности: И.."
"област Враца",Работа,"Търси логопед",https://www.alo.bg/9089542,,"Публикувано от ”Бюро по труда”: [ ДБТ - Враца ] Място на работата: Насeлено място към общ. Враца, обл. Враца Наименование на длъжността: 2266-6001 - Логопед Основни отговорности: Логопедът осъществ.."
"област Враца",Работа,"Търси оператор, производствена линия",https://www.alo.bg/9034718,,"Публикувано от ”Бюро по труда”: [ ДБТ - Мездра ] Място на работата: Насeлено място към общ. Мездра, обл. Враца Наименование на длъжността: 8212-2022 - Оператор, производствена линия Основни отговор.."
"област Враца",Работа,"Търси шофьор, лек автомобил до 9 места",https://www.alo.bg/9159312,,"Публикувано от ”Бюро по труда”: [ ДБТ - Бяла Слатина ] Място на работата: Насeлено място към общ. Бяла Слатина, обл. Враца Наименование на длъжността: 8322-2002 - Шофьор, лек автомобил до 9 места О.."
"област Враца",Работа,"Търси манипулант, промишлеността",https://www.alo.bg/9159303,,"Публикувано от ”Бюро по труда”: [ ДБТ - Лом ] Място на работата: Насeлено място към общ. Козлодуй, обл. Враца Наименование на длъжността: 9329-0013 - Манипулант, промишлеността Основни отговорности.."
"област Враца",Работа,"Търси сътрудник, социални дейности",https://www.alo.bg/9159302,,"Публикувано от ”Бюро по труда”: [ ДБТ - Враца ] Място на работата: Насeлено място към общ. Враца, обл. Враца Наименование на длъжността: 3412-3006 - Сътрудник, социални дейности Основни отговорност.."
"област Враца",Работа,"Търси здравен медиатор",https://www.alo.bg/9159301,,"Публикувано от ”Бюро по труда”: [ ДБТ - Бяла Слатина ] Място на работата: Насeлено място към общ. Бяла Слатина, обл. Враца Наименование на длъжността: 3253-3001 - Здравен медиатор Основни отговорно.."
"област Враца",Работа,"Търси медицинска сестра за социални дейности",https://www.alo.bg/9159300,,"Публикувано от ”Бюро по труда”: [ ДБТ - Бяла Слатина ] Място на работата: Насeлено място към общ. Бяла Слатина, обл. Враца Наименование на длъжността: 2221-6007 - Медицинска сестра за социални дейно.."
"област Враца",Работа,"Търси продавач-консултант",https://www.alo.bg/9159288,,"Публикувано от ”Бюро по труда”: [ ДБТ - Враца ] Място на работата: Насeлено място към общ. Враца, обл. Враца Наименование на длъжността: 5223-2001 - Продавач-консултант Основни отговорности: Посрещ.."
"област Враца",Работа,"Търси учител, теоретично обучение",https://www.alo.bg/9159272,,"Публикувано от ”Бюро по труда”: [ ДБТ - Оряхово ] Място на работата: Насeлено място към общ. Оряхово, обл. Враца Наименование на длъжността: 2320-5006 - Учител, теоретично обучение Основни отговорн.."
"област Враца",Работа,"Тракийска Баница Овча Купел",https://www.alo.bg/9158528,,"Баничарница от веригата Тракийска баница в подлеза на метростанция Мизия търси да назначи пекари и касиери на постоянен трудов договор и конкурентно за бранша възнаграждение"
